RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-943,Aluno-943,1L,Topázio,10.0,7.51,8.958333333,8.59,9,1
RA-944,Aluno-944,ALFA,Ametista,7.6,7.52,5.625,6.67,9,0
RA-944,Aluno-944,ALFA,Ametista,7.25,7.51,8.75,7.75,10,1
RA-945,Aluno-945,ALFA,Topázio,9.2,7.52,6.875,6.84,8,0
RA-945,Aluno-945,ALFA,Ametista,9.511904762,2.51,7.5,6.83,9,1
RA-946,Aluno-946,ALFA,Topázio,9.4,7.52,7.5,7.0,7,0
RA-946,Aluno-946,ALFA,Agata,8.7976190475,2.51,7.5,7.835,8,1
RA-947,Aluno-947,ALFA,Agata,7.9,7.52,4.375,5.08,8,0
RA-947,Aluno-947,ALFA,Agata,7.619047619,7.51,5.625,4.58,9,1
RA-948,Aluno-948,ALFA,Agata,7.6,7.52,6.875,8.34,8,0
RA-949,Aluno-949,ALFA,Topázio,8.1,7.52,6.25,6.5,8,0
RA-949,Aluno-949,ALFA,Ametista,8.7857142855,7.51,6.25,6.495,9,1
RA-95,Aluno-95,5,Ágata,6.6,7.5,,6.292,17,0
RA-950,Aluno-950,ALFA,Topázio,10.0,7.52,7.5,8.17,9,0
RA-950,Aluno-950,ALFA,Ametista,9.023809524,7.51,6.875,8.0,10,1
RA-951,Aluno-951,ALFA,Topázio,9.7,7.52,7.5,9.09,7,0
RA-951,Aluno-951,ALFA,Agata,9.0357142855,2.51,6.25,7.325,8,1
RA-952,Aluno-952,ALFA,Topázio,9.2,3.77,7.1875,8.425,8,0
